#Wine sales
#Australia, monthly
#Jan 1980-Jun 1994
#Fort --- Fortified (th. of litres)
#DryW --- Dry Wine  (th. of litres)
#SwW --- Sweet Wine  (th. of litres)
#Red --- Red Wine  (th. of litres)
#Rose --- Rose Wine  (th. of litres)
#Spark --- Sparkling  (th. of litres)
#Total --- Total Wine sales
#by wine makers in bottles <= 1L.
#*ABS (Australian Bureau of Statistics)
# Time Series Data Library maintained by Rob Hyndman
Fort    DryW      SwW     Red   Rose    Spark   Total
4420    2839     134    1520     109    1600   25500
5255    3746     165    1708     124    2298   30998
4009    2632     156    1151     105    2191   24475
3074    2851     111     934      95    2511   23145
3465    3871     165    1159     135    3440   29701
3718    3618     197    1209     164    4923   34365
1954    2389     124     699      88    1609   17556
2604    2344     124     830      85    1435   22077
3626    2678     139     996     112    2061   25702
2836    2492     137    1124      87    1789   22214
4042    2858     127    1458      91    1567   26886
3584    2246     134    1270      87    1404   23191
4225    2800     136    1753      87    1597   27831
4523    3869     171    2258     142    3159   35406
2892    3007     112    1208      95    1759   23195
2876    3023     110    1241     108    2504   25110
3420    3907     147    1265     139    4273   30009
3159    4209     196    1828     159    5274   36242
2101    2353     112     809      61    1771   18450
2181    2570     118     997      82    1682   21845
2724    2903     125    1164     124    1846   26488
2954    2910     122    1205      93    1589   22394
4092    3782     120    1538     108    1896   28057
3470    2759     118    1513      75    1379   25451
3990    2931     281    1378      87    1645   24872
4239    3641     344    2083     103    2512   33424
2855    2794     366    1357      90    1771   24052
2897    3070     362    1536     108    3727   28449
3433    3576     580    1526     123    4388   33533
3307    4106     523    1376     129    5434   37351
1914    2452     348     779      57    1606   19969
2214    2206     246    1005      65    1523   21701
2320    2488     197    1193      67    1577   26249
2714    2416     306    1522      71    1605   24493
3633    2534     279    1539      76    1765   24603
3295    2521     280    1546      67    1403   26485
4377    3093     358    2116     110    2584   30723
4442    3903     431    2326     118    3318   34569
2774    2907     448    1596      99    1562   26689
2840    3025     433    1356      85    2349   26157
2828    3812     504    1553     107    3987   32064
3758    4209     579    1613     141    5891   38870
1610    2138     384     814      58    1389   21337
1968    2419     335    1150      65    1442   19419
2248    2622     320    1225      70    1548   23166
3262    2912     496    1691      86    1935   28286
3164    2708     448    1759      93    1518   24570
2972    2798     377    1754      74    1250   24001
4041    3254     523    2100      87    1847   33151
3402    2895     468    2062      73    1930   24878
2898    3263     428    2012     101    2638   26804
2555    3736     520    1897     100    3114   28967
3056    4077     493    1964      96    4405   33311
3717    4097     662    2186     157    7242   40226
1755    2175     304     966      63    1853   20504
2193    3138     308    1549     115    1779   23060
2198    2823     313    1538      70    2108   23562
2777    2498     328    1612      66    2336   27562
3076    2822     354    2078      67    1728   23940
3389    2738     338    2137      83    1661   24584
4231    4137     483    2907      79    2230   34303
3118    3515     355    2249      77    1645   25517
2524    3785     439    1883     102    2421   23494
2280    3632     290    1739     116    3740   29095
2862    4504     352    1828     100    4988   32903
3502    4451     454    1868     135    6757   34379
1558    2550     306    1138      71    1757   16991
1940    2867     303    1430      60    1394   21109
2226    3458     344    1809      89    1982   23740
2676    2961     254    1763      74    1650   25552
3145    3163     309    2200      73    1654   21752
3224    2880     310    2067      91    1406   20294
4117    3331     379    2503      86    1971   29009
3446    3062     294    2141      74    1968   25500
2482    3534     356    2103      87    2608   24166
2349    3622     318    1972      87    3845   26960
2986    4464     405    2181     109    4514   31222
3163    5411     545    2344     137    6694   38641
1651    2564     268     970      43    1720   14672
1725    2820     243    1199      69    1321   17543
2622    3508     273    1718      73    1859   25453
2316    3088     273    1683      77    1628   32683
2976    3299     236    2025      69    1615   22449
3263    2939     222    2051      76    1457   22316
3951    3320     302    2439      78    1899   27595
2917    3418     285    2353      70    1605   25451
2380    3604     309    2230      83    2424   25421
2458    3495     322    1852      65    3116   25288
2883    4163     362    2147     110    4286   32568
2579    4882     471    2286     132    6047   35110
1330    2211     198    1007      54    1902   16052
1686    3260     253    1665      55    2049   22146
2457    2992     173    1642      66    1874   21198
2514    2425     186    1518      65    1279   19543
2834    2707     185    1831      60    1432   22084
2757    3244     105    2207      65    1540   23816
3425    3965     228    2822      96    2214   29961
3006    3315     214    2393      55    1857   26773
2369    3333     189    2306      71    2408   26635
2017    3583     270    1785      63    3252   26972
2507    4021     277    2047      74    3627   30207
3168    4904     378    2171     106    6153   38687
1545    2252     185    1212      34    1577   16974
1643    2952     182    1335      47    1667   21697
2112    3573     258    2011      56    1993   24179
2415    3048     179    1860      53    1997   23757
2862    3059     197    1954      53    1783   25013
2822    2731     168    2152      55    1625   24019
3260    3563     250    2835      67    2076   30345
2606    3092     211    2224      52    1773   24488
2264    3478     260    2182      46    2377   25156
2250    3478     234    1992      51    3088   25650
2545    4308     305    2389      58    4096   30923
2856    5029     347    2724      91    6119   37240
1208    2075     203     891      33    1494   17466
1412    3264     217    1247      40    1564   19463
1964    3308     227    2017      46    1898   24352
2018    3688     242    2257      45    2121   26805
2329    3136     185    2255      41    1831   25236
2660    2824     175    2255      55    1515   24735
2923    3644     252    3057      57    2048   29356
2626    4694     319    3330      54    2795   31234
2132    2914     202    1896      46    1749   22724
1772    3686     254    2096      52    3339   28496
2526    4358     336    2374      48    4227   32857
2755    5587     431    2535      77    6410   37198
1154    2265     150    1041      30    1197   13652
1568    3685     280    1728      35    1968   22784
1965    3754     187    2201      42    1720   23565
2659    3708     279    2455      48    1725   26323
2354    3210     193    2204      44    1674   23779
2592    3517     227    2660      45    1693   27549
